Item ID Dropshipping top-10 results
User ID 65609154	score 3.023385556729056
User ID 49675036	score 3.0218323875577817
User ID 47500836	score 2.968499450386598
User ID 80803579	score 2.873315216482285
User ID 104220935	score 2.6662634573349426
User ID 56474728	score 2.657337856651805
User ID 678907	score 2.657337856651805
User ID 955076	score 2.6050991912789176
User ID 90350791	score 2.566747886473233
User ID 33666112	score 2.540391680470136

Item ID Finances top-10 results
User ID 65609154	score 3.2800701541738713
User ID 47500836	score 2.8896194115891385
User ID 94656492	score 2.7620190053950004
User ID 955076	score 2.6138636018103245
User ID 77835306	score 2.5887220326691036
User ID 90350791	score 2.563194611103786
User ID 41075063	score 2.5283513909067583
User ID 79434774	score 2.4410453078807093
User ID 4342284	score 2.39703697813397
User ID 45493268	score 2.3859631639590977

Item ID Marketing top-10 results
User ID 82663299	score 3.6948694152943466
User ID 79494746	score 3.335139004743009
User ID 54990258	score 3.273673667748299
User ID 617925	score 3.2686958801911947
User ID 69476102	score 3.1663684681747064
User ID 9957144	score 3.162657447968234
User ID 62879277	score 3.1235652930217332
User ID 654842	score 3.082854511424385
User ID 37958122	score 3.063183570882383
User ID 262799	score 3.052034761921083

Item ID Productivity top-10 results
User ID 94656492	score 2.851960809228757
User ID 955076	score 2.7849043757224203
User ID 83910187	score 2.445357224239827
User ID 13052806	score 2.4301519521873525
User ID 5057436	score 2.411083636558546
User ID 84480506	score 2.3636877184336833
User ID 15562636	score 2.3542901493678614
User ID 67998356	score 2.2962830940405077
User ID 100842017	score 2.2881598282903024
User ID 108869367	score 2.2853749922523257

Item ID Store design top-10 results
User ID 61733489	score 4.0967943250643994
User ID 30013623	score 3.638506116011293
User ID 77103577	score 3.5348258940503823
User ID 75004870	score 3.4148928414360387
User ID 110867065	score 3.2896430335365934
User ID 15344626	score 3.164468373520584
User ID 107713344	score 2.914799685335708
User ID 44597531	score 2.6670450573820292

