id,app_prize,description,have_pricing_hint,num_of_categories,num_of_pricing_plans,num_of_reviews,avg_of_ratings,num_of_replies
00289a9f-9f12-45b1-963b-67e78403f7c7,0,1784,1,3,1,5,3.2000,0
00312cea-3595-4d65-a60d-6e8e5b7d6897,0,2575,1,1,2,47,4.2979,4
003b3dbd-1295-48cb-a3e8-8f3a0e8fc6df,1,1396,1,6,3,1119,4.8785,172
004cc187-6def-4058-a7f3-78e6edfe2e3c,0,1315,1,1,1,0,0,0
005d6c7a-9eb9-4b35-bdd4-040d383e86cf,0,2940,0,3,1,4,5.0000,0
0067a20e-e307-490e-acc5-8442d4bdca4b,1,1589,0,4,1,108,4.8704,16
008ce864-6073-4b61-b133-265ea6afa893,0,2736,0,3,1,3,5.0000,0
00951791-6206-4780-ba17-5e57520c277c,0,2557,1,5,1,18,4.6667,36
00c5d020-0877-4534-88b8-f05fd4cf5fa6,0,2800,1,3,4,0,0,0
00d5c1eb-5b16-439b-8b84-c7abe921e6e4,0,1701,1,3,3,0,0,0
00dc6a76-76ba-42f3-92d8-1103331cd79c,0,2493,1,6,1,18,4.6667,1
00f7606e-2716-4b4a-905c-6a008d13deeb,0,814,1,2,3,0,0,0
011a72b9-598e-4e13-a47e-72f1ffe65b3c,1,1316,0,1,4,134,4.5896,79
015a1a38-2158-4ec2-9838-f5013c4b465c,0,2561,0,4,1,0,0,0
015f9a68-3f76-45a2-9c8d-a2f9cdd83e41,0,1240,1,4,1,3,5.0000,37
01627cd2-1671-40d5-9c0a-2932ef04bb08,0,1168,0,5,1,87,4.5862,0
016dd46e-0648-47a3-a15c-052ecd712568,0,2443,1,4,4,19,4.7895,15
0171fe1a-117e-4f95-866d-772f9d41f69f,1,2968,0,6,4,220,4.8000,0
018b6840-93d7-4d44-8e92-bdfa3e1e7dac,0,2979,1,2,3,24,5.0000,27
0196a6b3-820b-4468-84a5-b7379af40694,0,1579,1,3,2,0,0,0
019e12ae-93e7-4e81-be9a-0dbf6326eb7f,0,1307,0,2,1,1,5.0000,6
01b49006-22de-40b2-bbb5-59ee6ad42e0a,0,1926,1,3,1,2,3.0000,0
01c37758-727d-4b2b-a2c1-0674116598be,0,2869,1,1,1,439,4.4943,6
01d16015-19ee-4aba-9586-2cfa4aee4272,0,2009,1,5,1,21,4.9048,9
01fd1310-f0ca-4115-bb15-3983784040a7,0,945,1,1,1,25,4.8400,11
0201c462-e0ae-4a38-965f-ffe1c60b6437,0,1436,1,1,1,1,5.0000,0
023a339c-433e-4cf9-838a-d747a73e6758,0,2038,1,3,1,0,0,0
0258abb1-7eac-4e0a-b589-80d3872fb2b9,1,2406,0,2,4,55,4.7091,79
025e1eb5-d1f8-4e53-a2c9-2ddf7baf08f8,0,1296,1,4,4,346,4.6734,0
026b5dac-073e-4991-a4ba-32429d6809ee,0,1530,1,1,1,413,4.6053,40
0286c8cf-2b1c-4a4a-ac29-ada7bb62a009,0,1061,1,2,1,0,0,4
028a82e1-b818-475d-ad11-6d3bd2068ec1,1,3000,0,3,4,262,4.8244,5
028c5552-75d8-476c-936e-643a200cfcbc,0,1536,0,3,1,5,4.8000,0
02963f2d-a91b-4a61-9a5d-83a3311931db,0,2824,1,6,1,1,5.0000,3
02abbc34-2dfb-42fd-a24d-9cbe7227b924,0,2168,1,4,2,267,4.7154,1
02af94cb-6403-443a-b1e0-4c470c2490ef,0,1466,0,5,2,7,5.0000,0
02c84475-e700-43d7-a61f-2e92389d9a8e,0,1232,0,2,1,19,4.1053,0
02cce8f2-a644-45d4-9a86-512f342a3583,0,2812,1,2,2,11,4.8182,3
02d1be04-aef2-4799-a5fe-bd6b3140cdae,0,1825,0,3,1,6,2.8333,0
02e0e85a-dedb-4494-ae7e-2d30ad345764,0,1940,0,3,1,1,2.0000,79
02e250df-3598-43d0-bf7f-f6cfea11f67a,0,2871,1,1,3,20,4.1500,14
03011c30-19a0-412c-ae8f-abcd9a96e3d5,0,1463,0,4,1,57,4.8246,0
032bf4f6-0559-46fb-a78b-5653e3963ebf,0,916,1,2,1,0,0,3
032eeb26-b9af-4565-8cce-d72e5abcbc03,1,2207,0,5,2,103,4.6019,1212
03472ba0-e277-4b23-b8bd-cf8f03fef764,0,525,1,6,1,0,0,0
034d7d2f-663f-488c-872d-49d3a441450e,0,2584,0,2,1,37,4.7297,12
034f026f-fae9-4da4-8552-fa210281f0c7,0,2078,1,3,1,76,4.6316,6
0380c5ed-7b91-4d4b-9a4e-f6a1c50269dd,1,1974,0,3,2,4237,4.8872,0
03a45bec-da06-4a17-87e6-d11b945b573e,0,1522,0,2,1,27,4.7037,1
03bd6d82-d97c-45ce-892d-b589c675bfa8,0,2434,1,4,4,1,5.0000,0
03de694a-0721-47ca-89c0-cfa65299b574,0,2200,1,3,1,18,3.4444,0
03ed4768-1f07-4b1c-8e04-860925bf8000,0,1901,1,4,3,33,4.8788,9
03eef48e-7cf4-4e17-95ff-4a4ce703b601,0,1093,0,2,1,3,4.6667,0
03f8627e-0e2f-41c0-b78a-415ee1becc41,0,1495,0,1,1,91,4.9780,6
042e542c-42c2-4655-aa44-5733796ca384,0,1705,0,3,1,1,2.0000,0
04410cdd-4a92-409b-802c-a2aa089fb206,1,2787,1,4,4,1819,4.6723,401
045268ad-64f7-48f2-ae44-103799a58c26,0,2341,1,1,1,4,3.5000,0
045cc97a-d41b-4ae1-8478-dee2d26a9ae0,0,1712,0,2,1,5,5.0000,1
047fb3a9-1f76-400d-a0d4-2cb71b6194c7,0,1593,1,4,1,0,0,0
049ba149-695f-447e-aff3-8670b235174b,0,2391,1,3,2,40,4.7000,3
04ca67bc-1c1b-40d0-99ac-6ee5557d086c,0,1327,1,1,1,4,2.7500,2
04de399a-01c6-4ff0-bcf6-711faa2343ed,0,1545,1,4,1,1,1.0000,0
04dfb10c-e5ec-4035-bae2-304675e675b5,0,1045,1,2,1,1,5.0000,2
04e7e257-f931-43e0-b501-7793c16933cc,0,1347,1,4,2,4,4.0000,15
05055939-178c-4e32-a1f1-49818f7a3d7d,0,1093,0,1,2,4,4.0000,23
0505ae8d-154d-4ca6-9c93-37f261da052c,0,2786,0,2,1,20,5.0000,7
0517377f-50d0-469b-8812-ccee64487b36,0,1192,1,3,1,1,5.0000,0
052d9f08-7472-4641-87b2-fd7f558700ea,0,1503,1,3,1,47,3.7660,16
054263b8-ce6e-4cb0-9c25-0b9138cd0136,0,2497,0,6,4,0,0,0
0567b5e5-ee37-48e1-befd-9d65637bb0f2,0,3063,0,2,1,112,4.6429,0
057032a5-d12c-447c-9823-b78628c2123e,0,931,1,2,1,4,4.0000,40
057705ef-51a7-4f4c-b8ff-4f9a5cb3665b,0,2973,1,3,2,14,5.0000,0
0579c9d7-d43c-4210-855e-20626b23816a,0,1156,0,4,2,2,5.0000,7
0581013d-a1f5-497c-b77d-5cc48a3d1421,0,2133,1,3,1,0,0,0
059ec996-40d5-4f72-8c4a-55019047d333,0,2199,1,2,1,1,5.0000,0
05a33f94-b93f-46be-b26e-1eed39ba7758,0,2705,0,1,1,441,4.5918,1
05ad9306-1e13-4fdb-9308-3c2a51ce9737,0,1497,1,2,1,3,5.0000,63
05e582f8-0310-4fb7-acec-76bac3e528dd,0,1770,0,6,1,67,4.5821,3
05e90bbc-3eda-42e4-ad55-e0d34dc823c6,0,1729,0,3,1,1,4.0000,6
05f019ed-cd66-43d5-aa63-96b8b94207ca,0,1998,0,2,1,6,4.8333,21
05fbd931-5e43-4473-abf1-b605c97c790a,0,2701,1,3,1,1,5.0000,0
060cbc85-dbf9-4601-b3aa-e314f8602057,0,1085,0,6,1,9,4.3333,5
06188fa6-ddad-460f-85fc-9bec5d37f239,0,1204,0,5,2,0,0,0
062196ec-f51c-4e82-850e-c11f7ed3f792,0,3075,1,2,4,96,4.5208,0
062343bb-e7cb-47f4-8553-dc89944d2cbb,0,870,0,3,4,0,0,0
0628feca-1cbf-4df3-9211-c3c0c4f772ca,0,1642,0,5,4,0,0,0
06408759-34c4-4995-8013-d6dca552fee2,1,2109,0,8,4,17,4.2941,79
0641495b-f77c-401d-97f7-9de7163e41c4,1,2902,0,2,2,109,4.7706,299
065d6e6d-a08a-4d99-8679-aae6341cf19c,0,2106,1,1,1,0,0,0
0672cd01-5581-484b-9116-76d1163f5602,0,2667,1,4,1,1,1.0000,1
067499a6-8f9a-4cb2-a845-15f3e54aefd4,0,2723,1,9,1,6,4.3333,1280
06794ac8-d5c8-4bf7-b2c6-53816bddd6e3,0,2233,1,5,2,26,4.9615,0
067af27e-36aa-4fcc-a3aa-c3bcdb26f201,0,856,1,7,1,1,5.0000,16
068d655d-3236-4b6b-acea-0f8847b2e4f8,0,1654,0,1,4,71,3.8169,0
