user,category,rating
95451,Store design,5
127298,Store design,3
130324,Store design,3
156515,Store design,4
351023,Store design,2
409986,Store design,5
414915,Store design,2
424482,Store design,4
430007,Store design,5
487355,Store design,3
491035,Store design,4
492395,Store design,1
543918,Store design,4
583814,Store design,5
612684,Store design,5
659603,Store design,4
677442,Store design,2
703000,Store design,5
732194,Store design,4
776708,Store design,2
793733,Store design,2
804629,Store design,1
806330,Store design,5
816467,Store design,3
844418,Store design,3
879534,Store design,4
908184,Store design,2
910624,Store design,5
944320,Store design,3
950563,Store design,5
959563,Store design,5
997327,Store design,4
1036252,Store design,2
1066566,Store design,2
1095578,Store design,5
1128877,Store design,3
1153834,Store design,3
1228057,Store design,4
1255409,Store design,2
1348999,Store design,3
1351979,Store design,5
1406323,Store design,5
1420663,Store design,3
1485081,Store design,1
1500236,Store design,1
1516728,Store design,5
1522241,Store design,4
1526170,Store design,3
1536459,Store design,5
1548560,Store design,3
1599095,Store design,2
1605063,Store design,1
1615238,Store design,4
1652283,Store design,5
1658455,Store design,4
1662034,Store design,1
1688178,Store design,3
1713467,Store design,1
1744169,Store design,5
1773806,Store design,1
1814664,Store design,4
1832723,Store design,5
1848732,Store design,4
1867415,Store design,5
1896558,Store design,5
1901179,Store design,5
1926482,Store design,4
1936216,Store design,5
1961835,Store design,5
1971837,Store design,3
2020517,Store design,5
2031234,Store design,5
2055603,Store design,5
2114062,Store design,4
2128830,Store design,5
2161104,Store design,4
2172818,Store design,1
2173325,Store design,5
2220698,Store design,5
2243665,Store design,1
2269301,Store design,5
2288611,Store design,4
2312365,Store design,1
2341308,Store design,1
2376520,Store design,5
2384318,Store design,4
2395539,Store design,2
2446373,Store design,4
2471018,Store design,2
2514068,Store design,5
2600209,Store design,1
2662132,Store design,4
2714317,Store design,3
2781282,Store design,5
2803091,Store design,1
2805749,Store design,2
2811394,Store design,5
2844868,Store design,4
2996167,Store design,2
3001935,Store design,3
3064301,Store design,5
3084209,Store design,5
3108517,Store design,5
3141205,Store design,4
3170458,Store design,5
3175875,Store design,2
3180230,Store design,5
3332618,Store design,2
3339341,Store design,2
3388252,Store design,5
3416212,Store design,5
3420632,Store design,5
3464757,Store design,5
3511711,Store design,2
3518608,Store design,4
3565166,Store design,5
3613149,Store design,4
3721041,Store design,4
3728734,Store design,5
3742288,Store design,4
3747300,Store design,1
3762470,Store design,4
3771231,Store design,1
3775979,Store design,5
3805049,Store design,5
3827297,Store design,4
3965887,Store design,1
4156388,Store design,5
4168527,Store design,2
4197786,Store design,4
4201983,Store design,3
4230696,Store design,2
4258787,Store design,4
4322758,Store design,5
4332026,Store design,2
4332837,Store design,3
4342284,Store design,5
4421715,Store design,3
4432508,Store design,5
4451257,Store design,5
4544274,Store design,5
4545374,Store design,1
4568809,Store design,3
4576484,Store design,3
4587163,Store design,3
4598744,Store design,2
4704263,Store design,1
4736332,Store design,4
4831702,Store design,3
4838537,Store design,1
4853643,Store design,5
4856859,Store design,2
4887620,Store design,4
4913303,Store design,3
4915802,Store design,5
4932185,Store design,3
4933048,Store design,2
4936000,Store design,5
5045791,Store design,5
5052772,Store design,4
5057436,Store design,5
5100879,Store design,1
5104414,Store design,1
5121942,Store design,5
5133102,Store design,4
5186897,Store design,5
5214050,Store design,5
5251828,Store design,5
5285867,Store design,5
5321132,Store design,5
5330387,Store design,4
5358831,Store design,5
5422479,Store design,4
5469380,Store design,2
5501767,Store design,5
5552251,Store design,2
5560021,Store design,3
5563034,Store design,3
5575040,Store design,5
5614924,Store design,1
5623646,Store design,5
5671186,Store design,5
5673446,Store design,3
5736815,Store design,3
5778080,Store design,5
5821338,Store design,5
5822119,Store design,1
5841983,Store design,5
5845645,Store design,5
5883505,Store design,2
5902798,Store design,2
5918482,Store design,1
5921282,Store design,3
5935192,Store design,5
5937163,Store design,3
5965022,Store design,1
6000592,Store design,5
6013239,Store design,2
6073340,Store design,5
6116411,Store design,5
6138251,Store design,5
6145089,Store design,2
6176368,Store design,2
6218671,Store design,5
6267403,Store design,2
6355269,Store design,5
6405671,Store design,1
6434507,Store design,1
6472615,Store design,4
6486909,Store design,5
6614924,Store design,5
6668259,Store design,1
6669861,Store design,4
6722598,Store design,3
6724497,Store design,1
6790069,Store design,5
6796653,Store design,1
6880069,Store design,1
6881858,Store design,3
6935183,Store design,5
6936552,Store design,4
6951067,Store design,5
6962203,Store design,1
7012602,Store design,1
7021900,Store design,4
7087845,Store design,5
7133010,Store design,1
7186630,Store design,3
7196536,Store design,5
7233084,Store design,5
7244855,Store design,3
7248600,Store design,5
7254864,Store design,4
7263570,Store design,5
7268870,Store design,1
7300667,Store design,1
7388418,Store design,4
7398769,Store design,2
7423604,Store design,5
7429060,Store design,5
7538312,Store design,5
7539055,Store design,5
7591204,Store design,4
7597693,Store design,3
7598424,Store design,5
7652490,Store design,2
7671947,Store design,5
7683674,Store design,3
7711027,Store design,4
7728989,Store design,5
7740215,Store design,2
7742285,Store design,5
7750866,Store design,1
7782948,Store design,4
7791326,Store design,3
7804224,Store design,1
7815444,Store design,5
7838414,Store design,5
7847176,Store design,5
7857461,Store design,5
7880251,Store design,5
7918272,Store design,4
8004684,Store design,5
8062318,Store design,1
8173882,Store design,1
8215406,Store design,3
8263460,Store design,2
8339187,Store design,2
8362061,Store design,5
8405832,Store design,5
8415720,Store design,4
8442888,Store design,2
8517618,Store design,4
8550919,Store design,3
8589953,Store design,2
8633423,Store design,2
8670597,Store design,5
8675646,Store design,1
8820296,Store design,5
8949180,Store design,1
8967914,Store design,5
8976301,Store design,2
8983644,Store design,5
9058286,Store design,5
9096875,Store design,2
9162019,Store design,5
9169750,Store design,4
9248272,Store design,3
9249300,Store design,5
9262685,Store design,5
9286052,Store design,1
9300224,Store design,3
9336453,Store design,5
9360701,Store design,5
9362161,Store design,5
9369210,Store design,5
9374568,Store design,4
9406967,Store design,4
9452491,Store design,2
9484495,Store design,3
9505633,Store design,5
9507548,Store design,3
9538812,Store design,3
9564208,Store design,5
9629801,Store design,4
9639489,Store design,3
9698111,Store design,3
9745659,Store design,4
9751324,Store design,1
9759543,Store design,4
9783097,Store design,1
9790364,Store design,3
9807174,Store design,2
9815053,Store design,4
